PSH Flag Count,Down/Up Ratio,Init_Win_bytes_forward,Init_Win_bytes_backward,Label_numeric
0,0,571,2079,0
0,0,390,2081,0
0,0,-1,-1,0
1,0,8192,513,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,513,253,0
0,0,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,0,-1,-1,0
0,0,-1,-1,0
0,0,-1,-1,0
0,0,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,0,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
1,0,29200,2081,0
1,0,29200,2081,0
1,0,29200,2076,0
1,0,29200,2081,0
1,0,29200,2078,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
1,0,29200,2081,0
0,0,237,-1,0
1,0,29200,2081,0
1,0,29200,2081,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,0,2081,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,0,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
1,0,29200,2081,0
0,0,237,-1,0
1,0,29200,2081,0
1,0,29200,2081,0
1,0,29200,2081,0
0,0,237,-1,0
1,0,29200,2081,0
1,0,29200,2081,0
1,0,29200,2081,0
1,0,29200,2077,0
0,0,-1,-1,0
0,0,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,0,2081,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,0,2081,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,0,-1,-1,0
0,1,-1,-1,0
0,0,-1,-1,0
0,0,-1,-1,0
0,0,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
1,0,8192,2053,0
1,0,8192,2053,0
1,0,8192,2053,0
1,0,8192,2053,0
1,0,8192,2049,0
1,0,8192,2053,0
1,0,8192,2052,0
0,1,-1,-1,0
0,0,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
1,0,8192,2050,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
1,0,8192,2053,0
1,0,8192,2053,0
1,0,8192,2053,0
0,1,2053,251,0
0,1,-1,-1,0
0,0,-1,-1,0
0,1,-1,-1,0
0,0,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,0,-1,-1,0
0,0,2053,-1,0
0,1,-1,-1,0
0,0,-1,-1,0
0,0,-1,-1,0
0,0,-1,-1,0
0,0,-1,-1,0
0,0,-1,-1,0
1,0,29200,260,0
0,0,245,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,0,260,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
1,0,8192,2053,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
1,0,8192,0,0
0,0,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,0,-1,-1,0
0,0,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,0,-1,-1,0
0,0,-1,-1,0
0,0,-1,-1,0
1,0,8192,2049,0
0,0,842,0,0
0,0,820,2081,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
1,0,8192,2053,0
1,0,8192,2053,0
1,0,8192,2053,0
1,0,8192,2053,0
1,0,8192,2053,0
1,0,8192,2053,0
1,0,8192,2053,0
1,0,8192,2053,0
1,0,8192,2053,0
0,1,2053,251,0
1,0,8192,2053,0
1,0,8192,2053,0
1,0,8192,2053,0
0,1,2053,251,0
1,0,8192,2051,0
1,0,8192,2050,0
1,0,8192,2049,0
1,0,8192,2051,0
1,0,8192,2048,0
1,0,8192,2051,0
0,1,-1,-1,0
0,1,-1,-1,0
0,1,-1,-1,0
